단어,품사,빈도수
을,JKO,879
다,EFN,842
에,JKM,526
를,JKO,470
하,XSV,456
의,JKG,414
ㄴ,ETD,322
이,JKS,279
에서,JKM,266
하다,NNP,238
·,SP,232
하,XSA,231
어,ECS,186
가,JKS,178
에게,JKM,175
등,NNB,164
고,ECE,162
는,ETD,109
게,ECD,106
ㄹ,ETD,105
로,JKM,96
여,ECS,81
명하,VV,81
것,NNB,79
으로,JKM,77
도록,ECD,75
청하,VV,72
",",SP,72
과,JKM,70
이,VCP,66
대하,VV,62
전,NNG,60
보,VV,54
바치,VV,54
윤,NNG,53
김,NNG,53
시키,XSV,53
아,ECS,51
니,ECD,49
은,ETD,48
다,ECS,48
지,ECD,47
도,NNG,47
의정부,NNG,46
들,XSN,45
기,ETN,45
보내,VV,45
내,VV,44
하,VV,44
리다,EFN,43
과,JC,43
베풀,VV,43
노비,NNG,42
올리,VV,41
내,EFN,39
죄,NNG,39
하사,NNG,38
세자,NNG,38
건의,NNG,38
사헌부,NNG,37
나,NP,36
형조,NNG,36
),SS,35
대간,NNG,35
(,SS,35
.,SF,34
주,VXV,34
와,JKM,33
박,NNG,32
닿,VV,31
오,VV,31
이,MDT,31
임금,NNG,30
예조,NNG,29
어,ECD,29
와,JC,29
전라도,NNG,29
절제사,NNG,28
상소,NNG,28
되,XSV,28
1,NR,27
않,VXV,27
어,VV,27
사,NNG,27
사람,NNG,27
민,NNG,26
경상도,NNG,26
도,JX,25
었,EPT,25
현,NNG,25
을,NNG,24
신,NNG,24
임명,NNG,24
안,NNG,24
제사,NNG,24
돌아오,VV,24
군,NNG,23
삼,VV,23
정하,VV,23
유,NNG,23
위하,VV,22
명,NNM,22
말,NNG,21
주,NNG,21
인,NNG,21
의논,NNG,21
잔치,NNG,20
상왕,NNG,20
왜구,NNG,20
왜인,NNG,19
가두,NNG,19
종,NNG,19
내리,VV,19
구경하,NNG,19
은,JX,19
도순,NNG,19
졸,VV,19
궁,NNG,19
일,NNG,19
아서,ECD,19
조,NNG,18
동교,NNG,18
교,NNG,18
사간원,NNG,18
우,NNG,18
매사냥,NNG,18
충청도,NNG,18
한,MDN,18
상,NNG,17
산,NNG,17
수군,NNG,17
관찰사,NNG,17
관직,NNG,17
성,NNG,17
왕,NNG,17
규정,NNG,17
일본,NNG,17
아뢰,VV,17
권,NNG,17
2,NR,17
있,VV,16
을,JX,16
사신,NNG,16
하여,MAG,16
판서,NNG,16
문제,NNG,16
아,ECD,16
문사,NNG,16
부,NNG,16
관하,VV,16
왜적,NNG,16
각도,NNG,16
술,NNG,16
송,NNG,16
끼,VV,15
위,NNG,15
제주,NNG,15
관원,NNG,15
주,VV,15
부사,NNG,15
순금사,NNG,15
사냥,NNG,15
최,XPN,15
파직,NNG,15
관리,NNG,15
석방,NNG,15
법,NNG,14
》,SS,14
와,VV,14
사의,NNG,14
토산물,NNG,14
관,NNG,14
따르,VV,14
3,NR,14
《,SS,14
동북면,NNG,14
고치,VV,14
무구,NNG,14
때,NNG,14
연회,NNG,14
남,NNG,14
인덕,NNG,13
가닿,VV,13
서리,NNG,13
사,VV,13
광,NNG,13
검,NNG,13
금,NNG,13
금하,VV,13
조준,NNG,13
탄핵,NNG,13
문하,NNG,13
잇,VV,13
척,NNM,13
윤허,NNG,13
연루,NNG,13
정무,NNG,13
내사,NNG,13
별감,NNG,12
함께,MAG,12
하례,NNG,12
오,VX,12
도감,NNG,12
대사헌,NNG,12
상정,NNG,12
정,NNG,12
범하,VV,12
쌀,NNG,12
문,NNG,12
포,NNG,12
하,NNB,12
덕수궁,NNG,12
으나,ECE,12
짓,VV,12
자리,NNG,12
나오,VV,12
다가,ECD,12
다시,MAG,12
귀,NNG,12
비가,NNG,12
자,ECE,12
및,MAG,12
사직,NNG,12
만들,VV,11
용서,NNG,11
권,XSN,11
병조,NNG,11
매,NNG,11
여러,MDT,11
처벌,NNG,11
일,NNM,11
황,NNG,11
첩목아,NNG,11
자문,NNG,11
서북면,NNG,11
거느리,VV,11
6,NR,11
명나라,NNG,11
종묘,NNG,11
가,VV,11
거둥,NNG,11
요동,NNG,11
강원도,NNP,11
등지,NNB,11
길,NNG,10
진상,NNG,10
천둥,NNG,10
천,NNG,10
경사,NNG,10
이상,NNG,10
토록,JX,10
정승,NNG,10
동지,NNG,10
총제,NNG,10
풍해,NNG,10
중추원,NNG,10
후,NNG,10
는,JX,10
더,EPT,10
받,VV,10
사인,NNG,10
4,NR,10
5,NR,10
토지,NNG,10
소,NNG,10
고신,NNG,10
치달,VV,10
량,NNG,10
세우,VV,10
최,NNP,10
등,NNG,10
귀양,NNG,10
호조,NNG,10
여,NNG,9
백,NR,9
향,NNG,9
변정,NNG,9
병마,NNG,9
부르,VV,9
말,VXV,9
집,NNG,9
오용,NNG,9
직첩,NNG,9
아들,NNG,9
백관,NNG,9
죽,VV,9
중,NNG,9
원,NNG,9
각,MDT,9
물,NNG,9
상서,NNG,9
허락,NNG,9
안개,NNG,9
옮기,VV,9
황제,NNG,9
나아,NNG,9
결,NNG,9
환궁,NNG,9
도관찰,NNG,9
돌아가,VV,9
판,NNG,9
근,NNG,9
경외,NNG,9
공사,NNG,9
대궐,NNG,9
과전,NNG,9
영,NNG,9
품,NNB,9
빌,VV,9
옥,NNG,8
임,NNG,8
승인,NNG,8
영길도,NNG,8
지시,NNG,8
설치,NNG,8
왜선,NNG,8
들어가,VV,8
좌정승,NNG,8
의주,NNG,8
삼성,NNG,8
제수,NNG,8
병선,NNG,8
서울,NNG,8
천호,NNP,8
이하,NNG,8
유후사,NNG,8
참의,NNG,8
번개,NNG,8
머물,VV,8
유정현,NNG,8
충,NNG,8
공,NNG,8
허,NNG,8
만호,NNG,8
대마도,NNG,8
ㅁ,ETN,8
치,VV,8
거두,VV,8
승,NNG,8
홍,NNG,8
전송,NNG,8
거듭,MAG,8
이조,NNG,8
경연,NNG,8
육조,NNG,8
지내,VV,8
바람,NNG,8
수,NNG,8
군사,NNG,8
헌수,NNG,8
아가,NNG,8
눈,NNG,8
제조,NNG,8
종친,NNG,8
조사,NNG,8
부의,NNG,8
고을,NNG,8
참찬,NNG,8
자,NNG,8
잡,VV,8
태평관,NNG,8
이천,NNG,8
만,JX,8
대호군,NNG,8
시호,NNG,8
까지,JX,7
이르,VV,7
국,NNG,7
