단어,품사,빈도수
을,JKO,280
다,EFN,259
를,JKO,171
에,JKM,163
의,JKG,157
하,XSV,144
이,JKS,111
ㄴ,ETD,97
에서,JKM,90
하다,NNP,81
등,NNB,80
·,SP,78
하,XSA,67
어,ECS,66
에게,JKM,56
고,ECE,50
으로,JKM,40
로,JKM,40
는,ETD,39
게,ECD,39
가,JKS,34
ㄹ,ETD,34
청하,VV,30
이,VCP,29
",",SP,29
여,ECS,27
것,NNB,27
죄,NNG,26
보,VV,22
윤,NNG,21
시키,XSV,21
민,NNG,21
내,VV,20
명하,VV,20
과,JKM,20
리다,EFN,20
다,ECS,20
아,ECS,19
의정부,NNG,19
기,ETN,18
염치,NNG,18
바치,VV,18
사헌부,NNG,17
지,ECD,17
용,XSN,16
도록,ECD,16
들,XSN,15
하,VV,15
내,EFN,15
(,SS,15
),SS,15
올리,VV,15
은,ETD,14
와,JKM,14
박,NNG,13
안,NNG,13
사람,NNG,13
비가,NNG,13
노비,NNG,13
하사,NNG,13
전,NNG,13
보내,VV,13
베풀,VV,12
나,NP,12
파직,NNG,12
니,ECD,12
토록,JX,11
상소,NNG,11
김,NNG,11
어,ECD,11
이직,NNG,11
대간,NNG,11
건의,NNG,11
군,NNG,11
내리,VV,10
위하,VV,10
세자,NNG,10
대하,VV,10
주,VXV,10
었,EPT,10
않,VXV,9
어,VV,9
말,NNG,9
명,NNM,9
강,NNG,9
임금,NNG,9
다시,MAG,9
무회,NNG,9
와,JC,9
는,JX,9
인,NNG,8
권,NNG,8
공신,NNG,8
사신,NNG,8
귀,NNG,8
대호군,NNG,8
왜적,NNG,8
법,NNG,8
이,MDT,8
벼락,NNG,8
은,JX,8
주,NNG,8
관직,NNG,8
신극례,UN,8
제수,NNG,8
부,NNG,8
사,NNG,8
제사,NNG,8
.,SF,8
도,NNG,8
요동,NNG,7
교지,NNG,7
백,NR,7
맞닿,VV,7
태백성,NNG,7
낮,NNG,7
형조,NNG,7
왜구,NNG,7
성,NNG,7
나오,VV,7
돌아오,VV,7
삼,VV,7
쌓,VV,7
나타나,VV,7
각도,NNG,7
닿,VV,7
금하,VV,7
논죄,NNG,7
3,NR,7
정,NNG,7
을,JX,7
과,JC,7
1,NR,6
크,VA,6
무사,NNG,6
도안,NNG,6
가,VV,6
도순,NNG,6
서북면,NNG,6
만들,VV,6
문사,NNG,6
문하,NNG,6
예조,NNG,6
유정현,NNG,6
으나,ECE,6
직,NNG,6
동북면,NNG,6
도,JX,6
한,MDN,6
병조,NNG,6
토산물,NNG,6
중국,NNG,6
남,NNG,6
부사,NNG,6
사직,NNG,6
대사헌,NNG,6
우,NNG,6
경상도,NNG,6
6,NR,6
사간원,NNG,6
무구,NNG,6
현,NNG,6
육조,NNG,6
연회,NNG,6
일본,NNG,6
광,NNG,6
일,NNG,6
사의,NNG,6
종,NNG,6
박자,NNG,5
연루,NNG,5
간관,NNG,5
들어가,VV,5
오,VV,5
따르,VV,5
혁파,NNG,5
대신,NNP,5
수군,NNG,5
죄주,VV,5
전라도,NNG,5
하여,MAG,5
정지,NNG,5
이숙번,NNG,5
거둥,NNG,5
합,NNG,5
왕,NNG,5
대마도,NNG,5
의,NNG,5
척,NNM,5
포상,NNG,5
중,NNG,5
때,NNG,5
후,NNG,5
되,XSV,5
구경하,NNG,5
경,NNG,5
해,NNG,5
천호,NNP,5
아서,ECD,5
헌수,NNG,5
종묘,NNG,5
부르,VV,4
성석린,NNG,4
빌,VV,4
병선,NNG,4
하,NNB,4
문,NNG,4
쓰,VV,4
자,ECE,4
물품,NNG,4
까지,JX,4
계문,NNG,4
고을,NNG,4
산,NNG,4
하여금,MAG,4
참찬,NNG,4
윤허,NNG,4
받,VV,4
행하,VV,4
교,NNG,4
의주,NNG,4
량,NNG,4
각,MDT,4
홍,NNG,4
대군,NNG,4
문제,NNG,4
되,VV,4
있,VV,4
가닿,VV,4
북,NNG,4
판,NNG,4
지내,VV,4
및,MAG,4
못하,VX,4
출입,NNG,4
명나라,NNG,4
잇,VV,4
매사냥,NNG,4
동교,NNG,4
금은,NNG,4
절제사,NNG,4
므로,ECD,4
매,NNG,4
정하,VV,4
지시,NNG,4
일,NNM,4
포,NNG,4
송,NNG,4
근,NNG,4
일어나,VV,4
지진,NNG,4
적합,NNG,4
백성,NNG,4
청,NNG,4
무,NNG,4
영,NNG,4
원,NNG,4
경성,NNG,4
오도리,NNG,4
로,NNG,4
사냥,NNG,4
상왕,NNG,4
이,NNG,4
성,XSN,4
자리,NNG,4
위,NNG,3
급제,NNG,3
의논,NNG,3
고치,VV,3
연향,NNG,3
잘,MAG,3
집,NNG,3
하례,NNG,3
자초,NNG,3
유관,NNG,3
호,NNG,3
충,NNG,3
주,VV,3
값,NNG,3
경사로,NNG,3
사례,NNG,3
옹,NNB,3
정전,NNG,3
두,JX,3
소,NNG,3
선,NNG,3
도감,NNG,3
신도,NNG,3
7,NR,3
말하,VV,3
기생,NNG,3
녹,NNG,3
조사,NNG,3
군사,NNG,3
이르,VV,3
노략질하,VV,3
죄인,NNG,3
간,NNG,3
치,VV,3
농상,NNG,3
임명,NNG,3
관하,VV,3
승,NNG,3
귀양,NNG,3
석방,NNG,3
비,NNG,3
득,NNG,3
다가,ECD,3
녕,UN,3
무,XPN,3
총제,NNG,3
우박,NNG,3
소가,NNG,3
청주,NNG,3
글,NNG,3
유양,NNG,3
투항,NNG,3
왜선,NNG,3
화원,NNG,3
신,NNG,3
예물,NNG,3
거두,VV,3
감찰,NNG,3
궁,NNG,3
인덕,NNG,3
원종,NNG,3
공,NNG,3
소송,NNG,3
허,NNG,3
졸,VV,3
올,NNG,3
골간,NNG,3
회군,NNG,3
제주,NNG,3
시행,NNG,3
제도,NNG,3
