단어,품사,빈도수
을,JKO,326
다,EFN,312
에,JKM,196
를,JKO,164
하,XSV,154
의,JKG,133
이,JKS,118
·,SP,99
에서,JKM,94
ㄴ,ETD,94
하,XSA,86
하다,NNP,84
등,NNB,65
고,ECE,61
에게,JKM,56
가,JKS,53
어,ECS,48
ㄹ,ETD,41
게,ECD,40
로,JKM,39
는,ETD,38
으로,JKM,36
",",SP,32
청하,VV,30
것,NNB,27
이,VCP,24
윤,NNG,24
시키,XSV,22
니,ECD,22
김,NNG,22
들,XSN,20
명하,VV,20
보내,VV,20
임금,NNG,19
보,VV,19
기,ETN,19
전,NNG,19
지,ECD,18
여,ECS,18
다,ECS,18
민,NNG,18
대간,NNG,17
의정부,NNG,17
와,JKM,16
과,JKM,16
형조,NNG,16
올리,VV,16
노비,NNG,16
하사,NNG,16
세자,NNG,15
었,EPT,15
내,EFN,15
도록,ECD,14
죄,NNG,14
바치,VV,14
내,VV,13
명,NNM,13
사,NNG,13
.,SF,13
리다,EFN,13
나,NP,13
아,ECS,13
우,NNG,12
절제사,NNG,12
도,NNG,12
하,VV,12
대하,VV,12
되,XSV,12
사헌부,NNG,12
정,NNG,11
무구,NNG,11
일,NNG,11
건의,NNG,11
을,JX,11
은,ETD,11
어,ECD,11
와,JC,11
이,MDT,10
(,SS,10
수군,NNG,10
과,JC,10
백,NR,10
달이,NNG,10
경상도,NNG,10
오,VV,10
),SS,10
어,VV,10
나타나,VV,10
조,NNG,10
도,JX,9
태백성,NNG,9
임명,NNG,9
아,ECD,9
사간원,NNG,9
현,NNG,9
1,NR,9
각도,NNG,9
법,NNG,9
구경하,NNG,9
매사냥,NNG,9
서북면,NNG,8
권,NNG,8
사신,NNG,8
5,NR,8
삼,VV,8
조영무,NNG,8
박,NNG,8
사람,NNG,8
종묘,NNG,8
비가,NNG,8
안,NNG,8
범하,VV,8
형,NNG,8
일본,NNG,8
판서,NNG,8
낮,NNG,8
위하,VV,8
주,NNG,7
졸,VV,7
백관,NNG,7
행하,VV,7
등,NNG,7
않,VXV,7
명나라,NNG,7
닿,VV,7
논죄,NNG,7
하여,MAG,7
다가,ECD,7
하,NNB,7
문제,NNG,7
내리,VV,7
을,NNG,7
성,NNG,7
윤허,NNG,7
아서,ECD,7
정지,NNG,7
거느리,VV,7
척,NNM,7
왜구,NNG,7
혹성,NNG,7
주,VXV,7
예조,NNG,7
이화,NNG,7
금하,VV,7
동북면,NNG,7
여러,MDT,7
방,NNG,7
평안도,NNG,6
상,NNG,6
종,NNG,6
공사,NNG,6
남,NNG,6
2,NR,6
송,NNG,6
문사,NNG,6
도순,NNG,6
강원도,NNP,6
쌀,NNG,6
상소,NNG,6
대사헌,NNG,6
놓,VV,6
집,NNG,6
귀양,NNG,6
한,MDN,6
탄핵,NNG,6
유성,NNG,6
가,VV,6
강무,NNG,6
여,NNG,6
무,NNG,6
잡,VV,6
도관,NNG,6
교,NNG,6
사직,NNG,6
는,JX,6
등지,NNB,5
석,NNM,5
상정,NNG,5
벼락,NNG,5
박만,NNG,5
시키,VV,5
순,NNG,5
정승,NNG,5
영길도,NNG,5
베풀,VV,5
조사,NNG,5
군,NNG,5
상왕,NNG,5
왜인,NNG,5
이조,NNG,5
14,NR,5
다고,EFN,5
침몰,NNG,5
영,NNG,5
관찰사,NNG,5
덕수궁,NNG,5
용,XSN,5
위,NNG,5
부사,NNG,5
파직,NNG,5
전라도,NNG,5
ㅁ,ETN,5
신,NNG,5
관직,NNG,5
최,NNP,5
항복,NNG,5
매,NNG,5
풍해,NNG,5
4,NR,5
7,NR,5
거둥,NNG,5
소,NNG,5
울,VV,5
흥,NNG,5
부,NNG,5
충청도,NNG,5
짓,VV,5
따르,VV,5
장,NNG,5
술,NNG,5
병조,NNG,5
이직,NNG,5
사의,NNG,5
죽,VV,5
물,NNG,5
더,EPT,5
아뢰,VV,4
문안,NNG,4
토록,JX,4
정하,VV,4
행차,NNG,4
향이,NNG,4
행랑,NNG,4
실,NNG,4
첨,NNG,4
호종,NNG,4
심,NNG,4
8,NR,4
주,VV,4
수,NNG,4
가닿,VV,4
》,SS,4
광,NNG,4
《,SS,4
속,NNG,4
그,MDT,4
다시,MAG,4
로,NNG,4
나오,VV,4
못하,VX,4
내시,NNG,4
총제,NNG,4
이,NNG,4
스,VV,4
지방,NNG,4
부르,VV,4
동원,NNG,4
사냥,NNG,4
검,NNG,4
비,NNG,4
개,NNM,4
성,XSN,4
이르,VV,4
용서,NNG,4
왜적,NNG,4
돌아오,VV,4
제수,NNG,4
대신,NNP,4
이숙번,NNG,4
강무하,VV,4
의논,NNG,4
외방,NNG,4
한로,NNG,4
석,NNG,4
